id,date,medtype,medium,headline,value
11191,2015-03-16T12:40:04Z,Internet,4 NOS.nl,Aandelenbeurzen zetten koersopmars voort,1
11745,2015-04-03T13:03:10Z,Internet,4 NOS.nl,Cyprus heft laatste restricties op na crisis,1
12367,2015-04-27T11:56:21Z,Internet,4 NOS.nl,Spanje rekent op grootste groei in 8 jaar,1
12727,2015-05-13T07:36:05Z,Internet,4 NOS.nl,"Economie groeit met 0,4 procent",1
13997,2015-06-25T12:08:01Z,Internet,4 NOS.nl,Rechter draait loonsverlaging thuiszorgbedrijf terug,1
15479,2015-02-20T17:15:49Z,Internet,6 nrc.nl,'Eurolanden eens over conceptakkoord Griekenland' ',1
17355,2015-05-22T07:56:24Z,Internet,6 nrc.nl,Consumenten besteden wederom meer. Hun vertrouwen stijgt ook wee,1
21653,2015-02-13T16:34:00Z,Internet,2 telegraaf.nl,Dow weer boven 18.000 punten,1
21973,2015-02-18T10:37:06Z,Internet,2 telegraaf.nl,Britse werkloosheid daalt verder,1
24207,2015-03-17T18:05:34Z,Internet,2 telegraaf.nl,DAF verhoogt productie met extra personeel,1
26049,2015-04-12T04:00:00Z,Internet,2 telegraaf.nl,'Centrale Banken blijven steunen',1
27865,2015-05-07T15:24:55Z,Internet,2 telegraaf.nl,Kansen in Duits vastgoed,1
29203,2015-05-26T18:35:19Z,Internet,2 telegraaf.nl,Meer hoop voor Grieken,1
30387,2015-06-09T19:01:00Z,Internet,2 telegraaf.nl,Optimisme over belastingen,1
30629,2015-06-11T19:39:46Z,Internet,2 telegraaf.nl,'Technologie kan groei VS aanjagen' ',1
33737,2015-07-20T07:46:07Z,Internet,2 telegraaf.nl,Uitgaven consumenten nemen verder toe,1
33933,2015-07-23T05:17:08Z,Internet,2 telegraaf.nl,Flinke stijging export Japan,1
34959,2015-02-09T08:41:00Z,Internet,5 volkskrant.nl,Nog nooit exporteerde Duitsland zoveel als in 2014,1
41249,2015-05-21T20:27:00Z,Internet,5 volkskrant.nl,IMF verwacht herstel Russische economie,1
148571718,2015-02-13T00:00:00Z,Newspaper,NRC,Er zit vaart in de economie,1
148571724,2015-02-13T00:00:00Z,Newspaper,NRC,"CBS Economie is met 0,5 procent gegroeid",1
148572371,2015-03-24T00:00:00Z,Newspaper,NRC,"Ondernemers, daar is wat te halen",1
148572607,2015-03-07T00:00:00Z,Newspaper,NRC,Opwaartse spiraal,1
150280542,2015-05-29T00:00:00Z,Newspaper,Telegraaf,Gemeente snoeit 5 miljoen minder; Door meevallers is stadskas goed gevuld,1
150280818,2015-05-08T00:00:00Z,Newspaper,Telegraaf,"Ambitieus, en beloond",1
150280829,2015-05-08T00:00:00Z,Newspaper,Telegraaf,Huizenkoper grijpt kans; Hypotheekrente nooit zo laag,1
150281053,2015-04-21T00:00:00Z,Newspaper,Telegraaf,Hypotheken weer hot; Investeerders keren terug via nieuwe aanbieders,1
150281364,2015-03-31T22:00:00Z,Newspaper,Telegraaf,Arbeid loont,1
150281391,2015-03-31T00:00:00Z,Newspaper,Telegraaf,Sterk begin Wall Street,1
150281689,2015-03-12T00:00:00Z,Newspaper,Telegraaf,Mkb krijgt meer,1
150281749,2015-03-09T00:00:00Z,Newspaper,Telegraaf,Ruim 6000 banen erbij,1
150281780,2015-03-06T00:00:00Z,Newspaper,Telegraaf,"Inflatiedoel in zicht; Geldontwaarding volgens ECB naar 1,8% in 2017",1
